,X_draw_graph_fa-0,X_draw_graph_fa-1
cell_1657,350.052806962963,13039.882334822027
cell_189,151.5113734360519,7133.494532212271
cell_2544,833.0902913679255,14692.929432148789
cell_1543,-881.1657720287561,13279.189543995437
cell_309,-4218.830644334145,10155.707784679686
cell_2506,1162.8725358640447,13619.102644901863
cell_2245,2108.6334614010425,12724.477554225952
cell_190,-3835.799613440355,11765.565508025958
cell_2383,627.8613384870413,10429.28221566244
cell_2238,-683.7305918297901,13712.789981021546
cell_2137,131.01986611228045,13397.090033267692
cell_2566,557.3692862082636,13506.369691108765
cell_1893,897.0816283532995,13976.83250821514
cell_1974,-1640.1819825788646,13239.946754153121
cell_209,-5862.724290371658,11871.641922619847
cell_1661,4170.410114613772,7235.103757682819
cell_1686,2599.1815626215625,9250.211351150263
cell_1862,-1758.2621032914421,-40865.49184391454
cell_1839,74.8573223566099,14803.719992097358
cell_173,-4200.210664745486,10059.347195285674
cell_1699,2483.9915906368606,10630.08677942849
cell_1746,974.157166477667,14218.402255103058
cell_1714,1598.5328842716326,12565.69890793217
cell_1918,-570.4249599494029,12432.882470630173
cell_80,-5909.259273661366,11366.868082893521
cell_2312,-1914.3447558645,-40145.98311752398
cell_2571,1166.0394898688023,14183.147240461918
cell_2289,1639.9559598028968,13202.571950626001
cell_2455,-548.5854768993944,-39095.854516045234
cell_277,-3987.358146871349,10461.101103988458
cell_2096,1221.8184754411864,14591.508396350202
cell_2207,-299.72356761825586,10105.515902201867
cell_1990,1464.2356425325352,13398.707393121596
cell_117,1379.030866107089,5733.042805039847
cell_341,-5635.546841594655,10456.886521433442
cell_66,-5980.733730938086,11602.41946100814
cell_2414,1066.0110899465346,13390.798228894806
cell_1965,1891.1501699807623,13696.538178957942
cell_2412,3059.939388748861,8889.332921614645
cell_2632,951.7087143913128,14114.646175020445
cell_2114,1641.1360604730867,13404.04790060797
cell_63,-5883.2341495276405,12021.423331391805
cell_243,-5113.826538550017,9978.128313095602
cell_1664,237.29526311325884,13043.202848875822
cell_1970,3092.669773570754,7955.578068367171
cell_2601,-2932.0677459838603,-32860.61052252684
cell_2576,2135.722878681942,12109.223160477146
cell_76,-5450.659612053655,11924.659041825995
cell_1884,644.5413126247115,14681.90868827282
cell_1493,1493.9081886290548,12846.171761349542
cell_1559,911.100954687713,12502.182349562341
cell_2413,2221.7308635831214,8771.254832741897
